id,tanggal,roti_sisa,dropping,roti_id_id,toko_id_id
6285,10/28/2021,0,0,BBPN,78105
6337,11/1/2021,0,0,BBPN,78105
6389,11/4/2021,0,0,BBPN,78105
6441,11/8/2021,0,0,BBPN,78105
6493,11/11/2021,0,0,BBPN,78105
6545,11/15/2021,0,0,BBPN,78105
6597,11/18/2021,0,0,BBPN,78105
6649,11/22/2021,0,0,BBPN,78105
6701,11/25/2021,0,0,BBPN,78105
6753,11/29/2021,0,0,BBPN,78105
6805,12/2/2021,0,0,BBPN,78105
6857,12/6/2021,0,0,BBPN,78105
6909,12/9/2021,0,0,BBPN,78105
6961,12/13/2021,0,0,BBPN,78105
7013,12/16/2021,0,0,BBPN,78105
7065,12/20/2021,0,0,BBPN,78105
7117,12/23/2021,0,0,BBPN,78105
7169,12/27/2021,0,0,BBPN,78105
7221,12/30/2021,0,0,BBPN,78105
7273,1/3/2022,0,0,BBPN,78105
7325,1/6/2022,0,0,BBPN,78105
7377,1/10/2022,0,0,BBPN,78105
7429,1/13/2022,0,0,BBPN,78105
7481,1/17/2022,0,0,BBPN,78105
7533,1/20/2022,0,0,BBPN,78105
7585,1/24/2022,0,0,BBPN,78105
7637,1/27/2022,0,0,BBPN,78105
7689,1/31/2022,0,0,BBPN,78105
7741,2/3/2022,0,0,BBPN,78105
7793,2/7/2022,0,0,BBPN,78105
7845,2/10/2022,0,0,BBPN,78105
7897,2/14/2022,0,0,BBPN,78105
7949,2/17/2022,0,0,BBPN,78105
8001,2/21/2022,0,0,BBPN,78105
8053,2/24/2022,0,0,BBPN,78105
8105,2/28/2022,0,0,BBPN,78105
8157,3/3/2022,0,0,BBPN,78105
52,9/3/2020,0,4,BKCK,78105
104,9/7/2020,0,4,BKCK,78105
156,9/10/2020,2,5,BKCK,78105
208,9/14/2020,0,5,BKCK,78105
260,9/17/2020,0,3,BKCK,78105
312,9/21/2020,1,6,BKCK,78105
364,9/24/2020,0,4,BKCK,78105
416,9/28/2020,0,5,BKCK,78105
468,10/1/2020,0,5,BKCK,78105
520,10/5/2020,0,6,BKCK,78105
572,10/8/2020,2,6,BKCK,78105
624,10/12/2020,0,7,BKCK,78105
676,10/15/2020,1,4,BKCK,78105
728,10/19/2020,1,8,BKCK,78105
780,10/22/2020,0,3,BKCK,78105
832,10/26/2020,0,7,BKCK,78105
884,10/29/2020,0,4,BKCK,78105
936,11/2/2020,1,8,BKCK,78105
988,11/5/2020,0,5,BKCK,78105
1040,11/9/2020,0,7,BKCK,78105
1092,11/12/2020,0,6,BKCK,78105
1144,11/16/2020,2,8,BKCK,78105
1196,11/19/2020,0,7,BKCK,78105
1248,11/23/2020,2,6,BKCK,78105
1300,11/26/2020,0,8,BKCK,78105
1352,11/30/2020,0,4,BKCK,78105
1404,12/3/2020,2,9,BKCK,78105
1456,12/7/2020,0,5,BKCK,78105
1508,12/10/2020,0,7,BKCK,78105
1560,12/14/2020,1,6,BKCK,78105
1612,12/17/2020,0,8,BKCK,78105
1664,12/21/2020,0,5,BKCK,78105
1716,12/24/2020,1,9,BKCK,78105
